State,District,Year,Child Homicide Cases,Attempted Child Murder Cases,Child Serious Injury Cases,Child Assault Cases,Child Sexual Exploitation Cases,Child Abduction Cases,Child Kidnapping Cases,Child Rape Cases,Child Sexual Offence Cases,Child Trafficking Cases,Child Aggravated Sexual Abuse Cases,Adultery Cases,Child Cruelty Cases,Child Indecent Acts Cases,Child Sexual Harassment Cases,Child Assault & Injury Cases,Child Exposure to Obscene Content Cases,Child Exploitation & Assault Cases,Child Domestic Violence Exposure Cases,Child Protection & Guardianship Cases,Child Media-Related Offence Cases,Child Education Neglect Cases,Child Verbal Abuse Cases,Vulnerability Score
North Western,Kurunegala,2020,2.0,0.0,1.0,0.0,0.0,1.0,34.0,67.0,0.0,0.0,39.0,0.0,2.0,0.0,55.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.30289404650501284
North Western,Kurunegala,2021,0.0,1.0,2.0,0.0,0.0,0.0,38.0,71.0,0.0,1.0,11.0,4.0,4.0,0.0,58.0,17.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3395112232085496
North Western,Kurunegala,2022,0.0,3.0,2.0,0.0,1.0,2.0,24.0,60.0,0.0,0.0,13.0,1.0,2.0,0.0,38.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308974239093175
North Western,Kurunegala,2023,,1.0,2.0,,,,29.0,77.0,,,38.0,1.0,3.0,,56.0,19.0,1.0,,,,,,,0.6118973655339218
North Western,Kurunegala,2024,1.0,0.0,0.0,0.0,0.0,1.0,15.0,36.0,0.0,0.0,18.0,0.0,1.0,0.0,44.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1825450906784064
Northern,Mannar,2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059845801932677474
Northern,Mannar,2021,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,5.0,0.0,1.0,0.0,8.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09316255955443435
Northern,Mannar,2022,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1339884808901328
Northern,Mannar,2023,,,1.0,,,,5.0,7.0,,,1.0,1.0,,,,6.0,,,,,1.0,,,0.2660345848537564
Northern,Mannar,2024,1.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08375894111622825
